component,name,componentVersion,description,publicationDate,status,functionalBlock
TMFC000,ComponentName,<n.n.n>,<One-paragraph statement of what the component is responsible for.>,<YYYY-MM-DD>,<production | roadmap | preview>,<CoreCommerce | Production | PartyManagement | IntelligenceManagement>
TMFC001,ProductCatalogManagement,2.2.2,The product catalog management component is responsible for organizing the collection of products and product offering specifications that identify and define all requirements of a product or a product offering that can be commercialized.,2026-05-11,production,CoreCommerce
TMFC002,ProductOrderCaptureAndValidation,3.0.0,"This component captures what a customer wants to order based on the CSP's Product Catalog. It enables configuration of the product offerings and products desired, provides quotes, checks the eligibility of the customer order, and completes it with information needed such as the related parties or associated billing account and the delivery appointment. This component owns quote management, order capture and validation, using dedicated components (eg Offering Configurator, Service Qualification, Party Management) when needed. After the delivery of the customer product order items, this component is also in charge of the commercial closure of the order. It includes update of the Product Inventory (status and starting/end date of tariffs and discounts) and potential commercial rules control (eg receipt of the contract document signed by the customer).",2026-05-21,preview,CoreCommerce
TMFC003,ProductOrderDeliveryOrchestrationAndManagement,2.0.0,"This component orchestrates the delivery of Product Orders (status accepted). Based on the level of Product specification information available in the Product Catalog (eg prerequisite links between product specifications, links between product and CFS specifications...) it determines in which order the product specification level order items need to be delivered, and to which CFS (or Resource) specification each ordered product corresponds, and prepares and addresses each related service (or Resource) order to the production system in charge. During the delivery process execution, this component is in charge of the evolution of the status of the product specification level order items, and of the related product items, triggering updates of the related inventories.",2026-05-21,roadmap,CoreCommerce
TMFC005,ProductInventory,1.1.4,"The Product  Inventory component is responsible for storage and exposure of products that are assigned to and used by Parties. This component has functionality that enables creation of inventory items, inventory organization, inventory search or filter, inventory monitoring and tracking, inventory control and inventory auditing. The minimum check to be performed upon inventory item creation or update is for global consistency with related Product Catalog information.",2026-05-21,production,CoreCommerce
TMFC006,ServiceCatalogManagement,1.3.0,"This Component has conformance testing for v4 APIs only at this point. The Service Catalog Management component is responsible for organizing the collection of service specifications that identify and define all requirements of a service that can be performed. This component has the functionality that enables presentation of a customer-facing view so users are able to search and select services they need, as well as a technical view to enable definition and setup of what is needed to deliver service specifications (Customer Facing Service Specifications (CFSSs) and Resource Facing Service Specifications (RFSSs)) contained in the service catalog. The Service Catalog Management component has functionalities that include creation of new service specifications, managing service specifications, administering the lifecycle of services, describing relationships between service specification attributes, reporting on service specifications and their changes, and facilitating easy and systematic indexing and access to services, as well as facilitating automation of the service delivery process.",2024-11-12,production,Production
TMFC007,ServiceOrderManagement,2.1.0,"Service Order Management (SOM) component is the entry point to the Production Domain. It oversees delivery of Customer-Facing-Service (CFS) resources (network and service platform equipment). The SOM exposes the API ServiceOrder. It is triggered when the Product Order Delivery Orchestration And Management component calls this API to request CFS delivery. To achieve delivery of a CFS, the SOM orchestrates the CFS delivery process which identifies possible RFS and chooses one, using the catalog and technical inventory. It selects the resources (servers, equipment, etc.) and their instances, and requests the Resource Order Management (ROM) component to update selected resource instances to deliver CFS. Requests sent to the ROM contain the CFS and the list of configured resource instances to be updated.",2024-02-23,production,Production
TMFC008,ServiceInventory,1.3.0,"The Service Inventory component is responsible for storage and exposure of CFS (Customer Facing Services) that are associated to Product Inventory items. It is also responsible for RFS (Resource Facing Service) definition, mapping between CFS and RFS and mapping with infrastructure/network resources. The Service Inventory component has functionality that enables creation of inventory items, inventory organization, inventory search or filter, inventory monitoring and tracking, inventory control and inventory auditing. The minimum check to be performed at inventory item creation or update is for global consistency with the related Service Catalog information.",2026-06-08,production,Production
TMFC009,ServiceQualificationManagement,1.2.0,"The Service Qualification Management component is responsible for checking and validating the availability of a service according to specified and configured business rules. It must identify at least one technical solution (RFSspec) available to deliver the service (CFSspec) and check the availability of all the resources types involved in this technical solution. No resources are allocated during service qualification. The Service Qualification Management component has functionality that includes checking service feasibility status and publishing or reporting service qualification results, but also calculated service delivery due date and identified need of an appointment at the customer site. Service Qualification Management can also be responsible for the cost calculation of the technical solution identified, when it cannot be determined at catalog design time (complex B2B services). This information will be used as an input to price calculation.",2023-08-18,preview,Production
TMFC010,ResourceCatalogManagement,1.4.2,"The Resource Catalog Management component is responsible for organizing the collection of resource specifications that identify and define all requirements for a resource. The Resource Catalog Management component has the functionality that enables presentation of a customer-facing view, so users are able to browse and select resources they need, as well as a technical view to enable definition and setup of resources contained in the resource catalog. Additional functionalities include capturing new resource specifications, managing resources (registering assets and components and identifying and mapping connections/relationships), administering the lifecycle of resources, describing relationships between resources, reporting on resources and changes to their attributes, and facilitating easy access to identify and assign resources.",2026-05-11,production,Production
TMFC011,ResourceOrderManagement,1.3.0,"The Resource Order Management Component manages the end-to-end lifecycle of a resource  order request. This includes validating resource availability as well as the resource order request. Other functionality includes resource order assurance,  resource order decomposition and resource order tracking, along with orchestrating  activation and the test and turn-up processes.",2026-06-02,preview,Production
TMFC012,ResourceInventory,2.3.0,"The Resource Inventory component owns accounting for resources (all inputs - including stock, parts, assets, production components etc.) that are owned and/or held for allocation and/or use by the organization. The Resource Inventory component has functionality that includes inventory item creation, inventory organization, inventory search or filter, inventory monitoring and tracking, inventory control (organization, re-stock management etc.) and inventory auditing. The minimum check to be performed at inventory item creation or update is for global consistency with related Resource Catalog information.",2026-06-08,production,Production
TMFC014,LocationManagement,1.3.1,"The Location Management component allows easy reference to geographic places important to other entities, where a geographic place is an entity that can answer the question ""where?"" This component could be a facade tool for GIS systems, address sytems, BIM systems, mapping systems ... (eg. Google Maps).",2023-08-18,roadmap,Production
TMFC020,DigitalIdentityManagement,1.2.0,"The Digital Identity Management component is responsible for authentication of parties (customers, employees, partners), and resources authentication.",2026-06-08,roadmap,PartyManagement
TMFC022,PartyPrivacyManagement,1.2.0,"The Party Privacy Management component defines the privacy policy rules established by the CSP (according to applicable regulations such as GDPR in Europe); applies these rules to each Party interacting with the CSP and to all of their personal information and personally identifiable information; and registers explicit opt-in and opt-out given by Parties regarding the use of their personal information for dedicated purposes, such as marketing.",2026-05-21,preview,PartyManagement
TMFC023,PartyInteractionManagement,1.2.2,"Party Interaction deals with the initial greeting and welcoming of a new contact. This will typically be the first component in a customer experience journey, shared by unassisted (self-service, retail kiosk) or assisted (call center, retail store) channels. It will identify known Parties or new Parties and react appropriately to propose available actions. It records all the interactions for the Parties from all channels.",2025-10-21,production,PartyManagement
TMFC024,BillingAccountManagement,2.2.1,"The billing account management component aims to provide all the needed functionalities to create, configure and modify billing accounts. BAM component has the goal to support and handle the following capabilities/ functionalities. Set-up/ creation of Billing account. Associate payment plan(s), Associate payment method(s) - optional, Account taxes/ fees exception management, Define account associations, Provide account balance details, Set-up Billing contacts, Set-up Billing preferences (e.g., bill cycle frequency, invoice media type, invoice template option, etc.)",2026-05-21,roadmap,PartyManagement
TMFC027,ProductConfigurator,2.2.1,"The Product Configurator component empowers sales by offering the right product combinations, controlling discounting, and automating approvals through support of configuration, pricing and quote generation activities.",2026-06-02,roadmap,CoreCommerce
TMFC028,PartyManagement,2.2.0,"The Party Management component is responsible for the capture, validation and management of Parties. A Party may be an individual or organization that has a relationship with an enterprise. In this context it is responsible for the end-to-end lifecycle of: Individual, Organization and its related sub-entities, Contact Medium, Currency and tax exemption certificates, Identification, and Community.",2026-05-21,preview,PartyManagement
TMFC029,PaymentManagement,1.3.2,"Payment Management component manages methods used by parties to make payments. It also administers payment plans, handles payments, assigns payments against bills, settlements, and other objects requiring payments.",2024-11-18,production,PartyManagement
TMFC030,BillGenerationManagement,2.1.0,"The Bill Generation component is responsible for Party invoice management. It addresses the invoice formatting, presentation and dispatching via the appropriate means of communication.",2026-05-21,roadmap,PartyManagement
TMFC031,BillCalculation,3.1.0,"The Bill Calculation component processes all charges against billing accounts during bill cycles. Bill Calculation can be executed both on a cyclic basis and on demand. It performs calculations with bill compilation of charges, credits, fees & taxes, including pro rata, at various levels, such as product and/or account level that have been generated since the last run for that account, applying promotions and discounts.",2023-06-25,roadmap,CoreCommerce
TMFC035,PermissionsManagement,1.2.1,"The Permissions Management component manages and exposes roles and related permissions. This component enables creation, modification and deletion of permissions and delegate permissions. When a specific role is assigned, a set of permissions is inherited.",2026-05-21,preview,PartyManagement
TMFC036,LeadAndOpportunityManagement,1.3.0,"Lead and Opportunity Management component provides the functionality for lead and opportunity capture, qualification, reporting, and support during the pre-sales stage.",2026-05-21,production,PartyManagement
TMFC037,ServicePerformanceManagement,1.3.0,"Service Performance Management component monitors, analyzes, and reports on end-to-end service performance. This can include a real-time, end-to-end view to ensure that each service is functioning correctly as well as a historical view. These functions build on the Resource Performance data and active end-to-end service performance test data to provide a view of a service. The component provides a key input to determine Quality of Service.",2026-05-21,roadmap,Production
TMFC038,ResourcePerformanceManagement,1.3.0,"Resource Performance Management component monitors, analyzes, and reports on the performance of the service provider's resources.",2026-05-21,roadmap,Production
TMFC039,AgreementManagement,1.2.0,"The Agreement Management component is responsible for creating, storing, editing, and tracking agreed arrangements with related terms and conditions over a lifecycle. The component manages offers, records acceptance, and associated considerations and intentions to establish agreements as legally binding. This component also provides workflows and templates that facilitate collaboration, communication and negotiation of agreements between parties, and administers the translation of agreements into contracts, when required. It provides secure storage, version control, compliance management, and renewal notifications for agreements.",2026-05-21,roadmap,PartyManagement
TMFC040,ProductUsageManagement,1.2.0,"Product Usage Management component provides a standardized mechanism for creation, update, retrieval, import and export of a collection of usages. It allows a service provider to retrieve usage generated by a partner service platform in order to rate it, and provides rated usage to a partner for consumption follow-up purposes.",2026-05-21,preview,CoreCommerce
TMFC041,AnomalyManagement,1.3.0,"The Anomaly Management component is responsible for predicting, detecting and managing anomalous patterns in the usage and behavior of products, services and resources in order to avoid occurrence of problems. Anomaly Management has functionality for predicting, detecting and flagging unusual patterns or outliers for products, services and resource entities, and initiating mitigatory actions to prevent outlier patterns in usage or behavior becoming problems. In the event of failure to predict or detect an early warning sign of a possible problem occurrence, the component hands off mitigatory actions to the Party Problem Management component.",2026-05-21,roadmap,IntelligenceManagement
TMFC043,FaultManagement,1.1.0,"Fault Management component involves identifying, diagnosing, and resolving issues that prevent the communication resources and their overlaying services from functioning correctly. Its scope covers this functionality at the ODA Production layer while business related resolutions are not part of its scope. The Fault Management component manages the currently active alarms or problem candidates, potentially modifying or enhancing their data to make persistent alarms more actionable. It may apply logic to preserve alarms that reflect actual problems, eliminating those that are merely symptoms. Various actions can be taken using the alarm/problem information as part of the resolution process, such as applying automated/automonous corrective actions or opening trouble tickets.",2026-05-21,production,Production
TMFC046,WorkforceManagement,1.2.0,"Workforce Management component provides capabilities to describe teams, organizations, skills and availability of sales / technical experts. It provides the ability to reserve time slots to carry out assigned tasks (internal or customer facing). It allows the reservation (and updates/rescheduling) of appointments and interventions.",2024-04-18,production,Production
TMFC050,ProductRecommendationManagement,1.1.0,The Product Recommendation Management component is responsible for evaluating and providing Party recommendation offerings based on the history and real-time context of a Party.,2026-05-21,preview,CoreCommerce
TMFC054,ProductTestManagement,1.1.0,"Product Test Management component is responsible for product test specification for each Product Specification, and identification of the possible tests to be launched automatically by the delivery or assurance processes, or manually by the customer or user or by a CSR, to test that a product is functioning correctly. It utilizes tests available at the service specification level (or resource specification level for a tangible product). Product Test Management owns end-to-end execution and reporting of product tests according to the context and/or the actor.",2026-06-02,preview,CoreCommerce
TMFC055,ServiceTestManagement,1.1.0,"Service Test Management is responsible for managing the service test specification and executing tests based on this specification to ensure the service operates correctly.      Service test specification involves capturing potential tests for each Service Specification that can be initiated either automatically or manually by the service user. These tests are derived from those available at the service specification or resource specification level. The scope of the component includes the end-to-end execution and reporting of tests, tailored to the specific context and actor involved.",2025-07-16,preview,Production
